w1	Айри Аванери
w2	Алекса Звитакс
w3	Александра Кузнецова;KUZNETSOVA Alexandra
w4	Александра Софронова;SOFRONOVA Alexandra
w5	Александра Ушакова
w6	Александра Чернова;CHERNOVA Alexandra
w7	Алина Шворак
w8	Алла Потапова
w9	Анастасия Голубева;GOLUBEVA Anastasiya
w10	Анастасия Ефимова
w11	Анастасия Колиш;KOLISH Anastasia
w12	Анастасия Комова;Komova Anastasiia
w13	Анастасия Панова
w14	Анастасия Рыбка
w15	Анастасия Шевцова
w16	Ангелина Испирян;Ispirian Angelina
w17	Анна Блажко;BLAZHKO Anna
w18	Анна Волошина;VOLOSHINA Anna
w19	Анна Гапонова;Ганна Гапонова;Gaponova Ganna
w20	Анна Козловская;KOZLOVSKAIAI Anna
w21	Анна Плотникова;Plotnikova Anna
w22	Анна Россихина;ROSSIKHINA Anna
w23	Анна Спиридонова
w24	Анна Фарладанская;Farladanska Ganna
w25	Анна Фищенко
w26	Анна Хонина
w27	Анна Храмцова
w28	Анна Шмигельская
w29	Антонина Савельева;Savelyeva Antonina
w30	Арина Манилова;MANILOVA Arina
w31	Валентина Сабитова;SABITOVA Valentina
w32	Валерия Коцюр;KOTSYUR Valeria;Kotcyur Valeria
w33	Валерия Петрова
w34	Валерия Щетинкина;SHCHETINKINA Valeria
w35	Варвара Артамонова;ARTAMONOVA Varvara
w36	Василиса Труханкина;TRUKHANKINA Vasilisa
w37	Вероника Волкова;VOLKOVA Veronika
w38	Вероника Легостаева
w39	Виктория Климченко
w40	Виктория Ли
w41	Виктория Прищепа
w42	Виктория Серебренникова
w43	Дарья Бордюговская
w44	Дарья Семенова;Semenova Daria
w45	Дарья Чернова;CHERNOVA Daria
w46	Диана Стигарь
w47	Евгения Васильева;Vasylieva Ievgeniia
w48	Евгения Игнатович
w49	Евгения Мугурдумова;(Мугурдумова) Евгения Мала;Мала (Мугурдумова) Евгения;MUGURDUMOVA Eugenia
w50	Евгения Подносова;PODNOSOVA Evgeniya
w51	Екатерина Антипова
w52	Екатерина Башмакова
w53	Екатерина Варава
w54	Екатерина Гусева;GUSEVA Ekaterina
w55	Екатерина Жучкова
w56	Екатерина Кудякова;KUDYAKOVA Ekaterina
w57	Екатерина Мещанинова
w58	Екатерина Наумова;NAUMOVA Ekaterina
w59	Екатерина Савина;Savina Ekaterina
w60	Екатерина Чернявская;CHERNYAVSKAYA Ekaterina
w61	Екатерина Шевцова
w62	Елена Абаимова;Abaimova Elena
w63	Елена Иванова
w64	Елена Тодирка
w65	Елена Трошнева;Troshneva Elena
w66	Елена Улудинцева;Uludintseva Elena
w67	Елена Чунихина
w68	Елена Шмигельская
w69	Елизавета Хорошилова
w70	Елица Замфирова
w71	Зоя Новикова;NOVIKOVA Zoya
w72	Ингорен Таль
w73	Ирина Ермакова;ERMAKOVA Irina
w74	Ирина Моцык;Ирина Моцик;Motsyk Iryna
w75	Ирина Скляр
w76	Кристина Казанцева;KAZANTSEVA Kristina
w77	Кристина Толпыго
w78	Ксения Котельникова
w79	Ксения Титова
w80	Лариса Фарина
w81	Лилия Колючева;KOLYUCHEVA Liliya
w82	Людмила Кирица;KIRITSA Liudmila
w83	Маргарита Прудиус
w84	Маргарита Фетюхина;FETUKHINA Margarita
w85	Марина Краева
w86	Мария Виноградова;Мария Быкова;Vinogradova Mariia;BYKOVA Maria;VINOGRADOVA Maria
w87	Мария Долгих;Dolgikh Maria
w88	Милена Федотова
w89	Натали Рувман
w90	Наталья Алексеенко;Aleksyeyenko Nataliya
w91	Наталья Концунтейло
w92	Наталья Сычева;Наталия Сычева
w93	Наталья Шохова;Shokhova Natalia
w94	Нели Шойфер
w95	Оксана Фадеева;Fadeeva Oxana
w96	Ольга Воробьева;Ольга Баранова;Ольга Воробьева;Vorobeva Olga
w97	Ольга Вишнякова;Vishnyakova Olga
w98	Ольга Власова;VLASOVA Olga
w99	Ольга Волошина;Voloshina Olga
w100	Ольга Гордеева;Ольга Воробчикова
w101	Ольга Куликова;Kulikova Olga
w102	Ольга Куп
w103	Ольга Лососовская;Lososovskaya Olga
w104	Ольга Михайлова
w106	Ольга Овчинникова;Ольга Коренькова;OVCHINNIKOVA Olga
w107	Ольга Шишмарева;SHISHMAREVA Olga
w108	Петра Ловаш;Петра Ловас;Lovas Petra
w109	Полина Гусар;Gusar Polina
w110	Полина Куниченко
w111	Полина Михайлова;Mikhailova Polina
w112	Полина Трифонова
w113	Рута Пашкаускене;PASKAUSKIENE Ruta
w114	Светлана Ганина;GANINA Svetlana
w115	Светлана Крекина;KREKINA Svetlana
w116	Светлана Мохначева;MOKHNACHEVA Svetlana
